dataset_name,dataset_scale,hits_at_10,hits_at_100,hits_at_50,memory_delta_mb,memory_mb,method_name,runtime_seconds,seed,split,status,timestamp
ogbl-collab,0.1,0.07435947246864814,0.07537395583759632,0.0746400742515487,54.94921875,1103.9375,common_neighbors,0.413036723039113,42,test,completed,20260530_102533
ogbl-collab,0.1,0.10442047799747022,0.10538579322282138,0.10490313561014579,54.94921875,1103.9375,common_neighbors,0.413036723039113,42,valid,completed,20260530_102533
ogbl-collab,0.1,0.0733881586047616,0.0744458114787714,0.07373351464525459,47.140625,1126.390625,common_neighbors,0.37934269092511386,123,test,completed,20260530_102534
ogbl-collab,0.1,0.1043039744357899,0.10521935956327808,0.10481991878037414,47.140625,1126.390625,common_neighbors,0.37934269092511386,123,valid,completed,20260530_102534
ogbl-collab,0.1,0.07144553087698849,0.07254635325605992,0.07176930216495069,45.1640625,1119.07421875,common_neighbors,0.42356078897137195,456,test,completed,20260530_102534
ogbl-collab,0.1,0.10553558351641036,0.10641768191198989,0.1059350242993143,45.1640625,1119.07421875,common_neighbors,0.42356078897137195,456,valid,completed,20260530_102534
ogbl-collab,0.5,0.2469943232100844,0.39549742062207255,0.3952384035917028,163.71875,1224.23828125,common_neighbors,0.9165724369231611,42,test,completed,20260530_102535
ogbl-collab,0.5,0.32076759203781374,0.48588642567072765,0.4856367751814127,163.71875,1224.23828125,common_neighbors,0.9165724369231611,42,valid,completed,20260530_102535
ogbl-collab,0.5,0.27460122169699325,0.3953894968594185,0.3950657255714563,140.484375,1224.3046875,common_neighbors,0.9351216979557648,123,test,completed,20260530_102537
ogbl-collab,0.5,0.35253977764463085,0.4875840489980694,0.48731775514280007,140.484375,1224.3046875,common_neighbors,0.9351216979557648,123,valid,completed,20260530_102537
ogbl-collab,0.5,0.26896760128645125,0.39351162338923784,0.39314468259621405,160.12890625,1224.03515625,common_neighbors,0.9079678229754791,456,test,completed,20260530_102538
ogbl-collab,0.5,0.34832900605818523,0.48833300046601424,0.4880833499766993,160.12890625,1224.03515625,common_neighbors,0.9079678229754791,456,valid,completed,20260530_102538
ogbl-collab,1.0,0.34218308187096635,0.5455977897213409,0.5145589155820328,274.19921875,1358.6796875,common_neighbors,1.398284086957574,42,test,completed,20260530_102539
ogbl-collab,1.0,0.4385526928966114,0.6491578456827108,0.6201817455562213,274.19921875,1358.6796875,common_neighbors,1.398284086957574,42,valid,completed,20260530_102539
ogbl-collab,1.0,0.34218308187096635,0.5455977897213409,0.5145589155820328,275.07421875,1358.6796875,common_neighbors,1.2459577210247517,123,test,completed,20260530_102541
ogbl-collab,1.0,0.4385526928966114,0.6491578456827108,0.6201817455562213,275.07421875,1358.6796875,common_neighbors,1.2459577210247517,123,valid,completed,20260530_102541
ogbl-collab,1.0,0.34218308187096635,0.5455977897213409,0.5145589155820328,266.078125,1358.6875,common_neighbors,1.355328332982026,456,test,completed,20260530_102542
ogbl-collab,1.0,0.4385526928966114,0.6491578456827108,0.6201817455562213,266.078125,1358.6875,common_neighbors,1.355328332982026,456,valid,completed,20260530_102542
ogbl-collab,0.1,0.01670659845884867,0.060437307086274254,0.03889572406052365,674.87109375,1754.29296875,mlp,11.288164184079506,42,test,completed,20260530_102554
ogbl-collab,0.1,0.02816057519472738,0.08667864989015378,0.05795220025297916,674.87109375,1754.29296875,mlp,11.288164184079506,42,valid,completed,20260530_102554
ogbl-collab,0.1,0.018368624403721213,0.070582140775756,0.04213343694014548,7.6953125,1790.265625,mlp,10.766657835920341,123,test,completed,20260530_102605
ogbl-collab,0.1,0.025464349910125823,0.09989348245789229,0.06119765661407363,7.6953125,1790.265625,mlp,10.766657835920341,123,valid,completed,20260530_102605
ogbl-collab,0.1,0.017397310539834662,0.07880593148999547,0.04219819119773792,2.10546875,1805.37109375,mlp,10.878879718948156,456,test,completed,20260530_102616
ogbl-collab,0.1,0.024066307169962053,0.10944677451567805,0.06084814592903269,2.10546875,1805.37109375,mlp,10.878879718948156,456,valid,completed,20260530_102616
ogbl-collab,0.5,0.036197629994172115,0.22480519760840942,0.13058775281141402,6.8828125,1792.26171875,mlp,52.86893310002051,42,test,completed,20260530_102709
ogbl-collab,0.5,0.05953332001864057,0.27196924305971637,0.16708275081552493,6.8828125,1792.26171875,mlp,52.86893310002051,42,valid,completed,20260530_102709
ogbl-collab,0.5,0.04560858209760625,0.237497032096527,0.14971184355371367,1.9921875,1801.2578125,mlp,52.741487695951946,123,test,completed,20260530_102802
ogbl-collab,0.5,0.07023500432727514,0.2861826775847147,0.1906664003728114,1.9921875,1801.2578125,mlp,52.741487695951946,123,valid,completed,20260530_102802
ogbl-collab,0.5,0.038507198514969025,0.22430874830020073,0.14852468216451897,1.9921875,1801.2578125,mlp,52.8252686340129,456,test,completed,20260530_102855
ogbl-collab,0.5,0.058584648159243725,0.2745822515145463,0.19364556287863657,1.9921875,1801.2578125,mlp,52.8252686340129,456,valid,completed,20260530_102855
