batch_size,dataset_scale,dropout,epochs,hidden_channels,learning_rate,method_name,num_layers,result_path,runtime_seconds,seed,status,tuning_score
65536,1.0,0.0,50,256,0.01,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_012_mlp_scale_1_0_seed_42.json,27.122218461001466,42,completed,0.14496371746221956
65536,1.0,0.2,50,256,0.005,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_022_mlp_scale_1_0_seed_42.json,29.609071853003115,42,completed,0.12094734039012049
65536,1.0,0.0,50,256,0.005,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_010_mlp_scale_1_0_seed_42.json,27.161952651003958,42,completed,0.11227614672791425
65536,1.0,0.2,50,256,0.01,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_024_mlp_scale_1_0_seed_42.json,29.46073565199913,42,completed,0.10909726383063711
65536,1.0,0.5,50,256,0.005,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_034_mlp_scale_1_0_seed_42.json,29.494465056995978,42,completed,0.10467012848678517
65536,1.0,0.2,50,256,0.001,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_020_mlp_scale_1_0_seed_42.json,29.670867862994783,42,completed,0.09981026562812063
65536,1.0,0.0,50,256,0.01,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_011_mlp_scale_1_0_seed_42.json,21.724627377996512,42,completed,0.0936522202250183
65536,1.0,0.2,50,256,0.01,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_023_mlp_scale_1_0_seed_42.json,22.87265495199972,42,completed,0.08707809067305772
65536,1.0,0.0,50,256,0.005,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_009_mlp_scale_1_0_seed_42.json,21.68970794800407,42,completed,0.08163571000599161
65536,1.0,0.0,50,256,0.001,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_008_mlp_scale_1_0_seed_42.json,27.197698793002928,42,completed,0.0771087144664137
65536,1.0,0.5,50,256,0.001,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_032_mlp_scale_1_0_seed_42.json,29.55992872599745,42,completed,0.07534451767525464
65536,1.0,0.0,50,128,0.01,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_005_mlp_scale_1_0_seed_42.json,19.79709451400413,42,completed,0.06740563211503894
