batch_size,dataset_scale,dropout,epochs,hidden_channels,learning_rate,method_name,num_layers,result_path,runtime_seconds,seed,status,tuning_score
65536,1.0,0.2,50,256,0.005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_024_gcn_scale_1_0_seed_42.json,286.73027348199685,42,completed,0.47603355302576394
65536,1.0,0.0,50,256,0.005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_011_gcn_scale_1_0_seed_42.json,189.9331988060003,42,completed,0.46418347646628055
65536,1.0,0.2,50,256,0.005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_023_gcn_scale_1_0_seed_42.json,194.00232320400391,42,completed,0.44297982824046334
65536,1.0,0.2,50,128,0.005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_017_gcn_scale_1_0_seed_42.json,101.0898608849966,42,completed,0.4406164702749484
65536,1.0,0.2,50,128,0.005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_018_gcn_scale_1_0_seed_42.json,145.68726548099949,42,completed,0.43961786831768856
65536,1.0,0.0,50,256,0.001,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_010_gcn_scale_1_0_seed_42.json,279.0054727079987,42,completed,0.4320784235403768
65536,1.0,0.0,50,256,0.005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_012_gcn_scale_1_0_seed_42.json,281.3086084250026,42,completed,0.43011450635776577
65536,1.0,0.0,50,128,0.005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_005_gcn_scale_1_0_seed_42.json,98.23467607900238,42,completed,0.4094767325743958
65536,1.0,0.0,50,128,0.005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_006_gcn_scale_1_0_seed_42.json,140.76818554000056,42,completed,0.39061979894813925
65536,1.0,0.5,50,128,0.005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_029_gcn_scale_1_0_seed_42.json,100.3600407269987,42,completed,0.3786865055588842
65536,1.0,0.0,50,256,0.0005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_008_gcn_scale_1_0_seed_42.json,279.0221775290047,42,completed,0.3723953132281473
65536,1.0,0.5,50,128,0.005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_030_gcn_scale_1_0_seed_42.json,144.7870805489947,42,completed,0.3711803475134811
65536,1.0,0.5,50,256,0.005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_035_gcn_scale_1_0_seed_42.json,199.01721481300046,42,completed,0.36548831635710005
65536,1.0,0.2,50,128,0.001,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_016_gcn_scale_1_0_seed_42.json,146.91368467699795,42,completed,0.35476998868251114
65536,1.0,0.0,50,128,0.001,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_004_gcn_scale_1_0_seed_42.json,140.70813018199988,42,completed,0.3376106783835963
